#{"t_start": 1781727376.9474878, "env_id": "EPuckLidarParkingEnv-v0"}
r,l,t
96.978865,87,3052.866476
96.33999,102,3056.402888
98.199289,100,3060.120558
93.518213,84,3062.911452
93.487046,80,3065.361279
99.871081,99,3069.184759
102.828612,89,3072.249451
99.218058,92,3075.064009
99.396321,89,3077.996463
105.846364,81,3080.433385
100.172899,81,3083.661707
101.375314,88,3087.025818
101.845494,90,3090.076353
95.082385,90,3092.817924
94.514353,90,3096.0921
94.825974,80,3098.449434
97.980258,96,3101.722159
100.425656,87,3104.783795
104.587938,97,3107.731314
102.799042,96,3110.655277
99.310205,76,3112.895813
99.978764,90,3115.543896
98.216218,98,3118.570415
98.814532,88,3121.227392
98.901097,81,3123.591661
101.214014,87,3126.752587
100.763044,107,3130.086313
-99.877778,30,3130.982331
93.169073,103,3134.125631
-105.352432,99,3136.976413
100.182607,79,3139.523163
101.097884,77,3141.993924
97.981497,84,3144.488445
92.471911,83,3146.874092
100.045198,100,3149.856767
94.705749,99,3152.765222
-104.997592,86,3156.663353
86.910814,86,3159.242461
110.212328,92,3161.93751
-113.571203,82,3164.342036
99.018079,90,3167.031723
99.128363,93,3170.714922
97.883372,94,3174.832091
99.46319,84,3177.848206
100.943832,81,3180.37931
98.806748,98,3183.61012
92.998659,87,3186.515347
95.908793,95,3190.529195
103.700885,89,3193.852367
100.544666,96,3196.832126
99.421449,91,3199.241792
100.950031,94,3201.922399
103.086931,82,3204.167481
100.255115,96,3207.250137
102.416833,97,3209.832937
104.574341,94,3212.558373
98.112548,95,3215.438209
101.259905,94,3218.298692
102.198352,83,3220.991736
101.008188,94,3223.882534
101.609341,99,3226.642982
98.463646,91,3229.180146
97.544539,94,3231.767279
101.202882,95,3234.872172
101.777865,87,3238.337272
100.798739,93,3241.341412
107.816502,98,3244.516934
95.800805,81,3247.129642
98.565779,98,3251.278912
-103.812327,95,3254.947181
100.087758,90,3258.775597
101.35294,87,3262.14627
100.204231,78,3265.226472
99.986409,82,3268.097921
94.05813,89,3270.492868
99.527808,95,3276.027483
97.658627,78,3279.706497
104.711082,96,3283.437309
102.880653,85,3286.45754
100.114193,82,3289.382961
102.403535,92,3293.019622
103.117757,77,3295.536731
97.25036,93,3298.420865
97.185779,95,3301.90691
100.524931,99,3306.601172
96.81042,91,3309.605118
97.020027,92,3312.557563
96.697899,103,3316.70561
97.542028,95,3319.901638
102.100753,100,3322.966835
103.360775,104,3327.084082
98.599857,82,3330.072584
101.590623,86,3333.367033
-99.694858,83,3336.127064
98.802042,91,3339.359774
99.813939,74,3341.934132
100.455152,94,3346.967458
96.586125,93,3350.564836
98.057159,72,3353.475395
95.927957,87,3356.304277
97.299185,96,3359.190267
104.819463,95,3362.21156
103.604169,78,3364.564167
