#{"t_start": 1781747159.5238495, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
80.305504,123,4922.829636
91.244601,116,4928.328353
101.973344,104,4933.228898
69.666414,106,4938.324586
82.22879,117,4943.893221
80.025007,109,4949.212464
80.427905,110,4955.391949
78.704494,109,4961.904768
79.950131,108,4967.784515
93.088006,87,4972.948251
70.605627,110,4978.845073
78.097351,102,4983.623383
68.795116,116,4989.09005
72.268857,110,4994.424011
65.152383,127,5000.494276
62.26321,112,5006.432381
78.713256,116,5012.548419
91.994156,106,5017.568581
90.743874,95,5021.95906
97.552673,103,5026.957502
70.099935,99,5031.515565
88.470256,101,5036.297337
67.411586,120,5042.018089
85.205197,107,5047.700553
89.623928,109,5053.347664
90.609873,88,5057.595292
67.194046,122,5063.220832
86.90332,112,5068.534729
84.812117,99,5073.10897
73.156624,119,5079.34192
93.689294,105,5084.616132
94.672147,99,5089.552567
76.277991,101,5098.073688
74.345375,117,5105.574091
81.876513,91,5110.4975
88.139361,108,5116.305316
91.971822,90,5121.331597
86.815005,103,5126.659132
72.760502,120,5133.40628
92.391949,97,5137.995224
77.609598,113,5143.184193
95.933018,105,5148.143101
93.558935,104,5153.149346
73.104782,127,5159.075031
94.562012,104,5163.87544
71.519478,120,5169.354794
65.352796,129,5175.771945
94.961793,103,5180.641281
76.121378,100,5185.249118
85.310307,120,5190.715506
76.918072,117,5196.138967
65.409529,113,5201.38373
92.070804,105,5206.202078
